Name;Subcategory;Based on;Initial Appearance
4 OSC Generator;Mono, Stereo;Line 6 Original;2.20
3 OSC Synth;Stereo;Line 6 Original;1.00
Poly Pitch;Mono;Line 6 Original;3.00
Poly Wham;Mono;Line 6 Original;3.00
Poly Capo;Mono;Line 6 Original;3.00
12-String;Mono;Line 6 Original;3.00
Bass Octaver;Legacy;EBS® OctaBass;2.50
Smart Harmony;Legacy;Eventide H3000;2.50
Octi Synth;Legacy;Line 6 Original;2.50
Synth O Matic;Legacy;Line 6 Original;2.50
Attack Synth;Legacy;Korg® X911 Guitar Synth;2.50
Synth String;Legacy;Roland GR700 Guitar Synth;2.50
Growler;Legacy;Line 6 Original;2.50
Buzz Wave;Legacy;Line 6 Original;3.15
Rez Synth;Legacy;Line 6 Original;3.15
Seismik Synth;Legacy;Line 6 Original;3.15
Analog Synth;Legacy;Line 6 Original;3.15
Synth Lead;Legacy;Line 6 Original;3.15
String Theory;Legacy;Line 6 Original;3.15
Synth FX;Legacy;Line 6 Original;3.15
Saturn 5 Ring Mod;Legacy;Line 6 Original;3.15
Synth Harmony;Legacy;Line 6 Original;3.15
Mutant Filter;Mono, Stereo;Musitronics® Mu-Tron III;1.00
Mystery Filter;Mono, Stereo;Korg A3;1.00
Autofilter;Mono, Stereo;Line 6 Original;1.06
Asheville Pattrn;Mono, Stereo;Moog® Moogerfooger® MF-105M MuRF Filter;2.80
Voice Box;Legacy;Line 6 Original;2.50
V Tron;Legacy;Musitronics Mu-Tron III;2.50
Q Filter;Legacy;Line 6 Original;2.50
Seeker;Legacy;Z Vex Seek Wah;2.50
Obi Wah;Legacy;Oberheim® voltage-controlled S&H filter;2.50
Tron Up;Legacy;Musitronics Mu-Tron III (up position);2.50
Tron Down;Legacy;Musitronics Mu-Tron III (down position);2.50
Throbber;Legacy;Electrix® Filter Factory;2.50
Slow Filter;Legacy;Line 6 Original;2.50
Spin Cycle;Legacy;Craig Anderton’s Wah/Anti-Wah;2.50
Comet Trails;Legacy;Line 6 Original;2.50
UK Wah 846;Mono, Stereo;Vox V846;1.00
Teardrop 310;Mono, Stereo;Dunlop® Cry Baby® Fasel model 310;1.00
Fassel;Mono, Stereo;Dunlop Cry Baby Super;1.00
Weeper;Mono, Stereo;Arbiter Cry Baby;1.00
Chrome;Mono, Stereo;Vox V847;1.00
Chrome Custom;Mono, Stereo;Modded Vox V847;1.00
Throaty;Mono, Stereo;RMC® Real McCoy 1;1.00
Vetta Wah;Mono, Stereo;Line 6 Original;1.00
Colorful;Mono, Stereo;Colorsound Wah-fuzz;1.00
Conductor;Mono, Stereo;Maestro® Boomerang;1.00
Teardrop Bass Q;Mono, Stereo;Line 6 Original;3.80
Volume Pedal;Mono, Stereo;Line 6 Original;1.00
Gain;Mono, Stereo;Line 6 Original;1.00
Pan;Stereo;Line 6 Original;1.00
Stereo Width;Stereo;Line 6 Original;2.30
Stereo Imager;Stereo;Line 6 Original;3.00
6 Switch Looper;Mono, Stereo;Line 6 Original;1.00
1 Switch Looper;Mono, Stereo;Line 6 Original;2.60
Shuffling Looper;Mono, Stereo;Line 6 Original;3.00
